                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1048,                 3.5272,                 1.1361,                0.96853,                0.26667,                0.33295,                0.30075,                0.88245,                 2.9048,                 1.0996,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0813,                 3.2412,                 1.1263,                0.00212,                    0.2,                0.00579,                0.00386,                 1.1918,                 3.9278,                 1.1798,             0.00013861,             0.00013861,             0.00013861
                      3,                0.81627,                 1.2899,                 1.0015,                0.01266,                0.66667,                0.01122,                0.00663,                 1.3619,                 93.213,                 1.2211,             0.00021564,             0.00021564,             0.00021564
                      4,                0.79337,                0.82836,                0.97193,                0.02729,                0.86667,                0.02713,                0.01948,                0.90025,                 44.808,                 1.0168,             0.00029109,             0.00029109,             0.00029109
                      5,                0.72488,                0.85196,                0.93948,                 0.0524,                0.73333,                0.05116,                0.03614,                0.93268,                 28.083,                 1.0421,             0.00036495,             0.00036495,             0.00036495
                      6,                0.76371,                0.82371,                0.94388,                 0.9951,                      1,                  0.995,                0.79459,                0.79215,                0.90735,                0.98346,             0.00043723,             0.00043723,             0.00043723
                      7,                0.73733,                0.84861,                 1.0164,                0.99648,                      1,                  0.995,                0.84087,                0.64669,                 0.9932,                0.93409,             0.00050792,             0.00050792,             0.00050792
                      8,                0.71022,                0.71033,                0.96997,                0.99538,                      1,                  0.995,                0.82867,                0.74352,                 1.1315,                0.97267,             0.00057703,             0.00057703,             0.00057703
                      9,                0.67413,                0.62268,                0.91161,                0.87177,                      1,                0.97861,                0.70451,                 1.0316,                 1.1916,                 1.1926,             0.00064456,             0.00064456,             0.00064456
                     10,                0.73665,                0.73128,                 0.9678,                0.06959,                0.26667,                0.02236,                0.01125,                 3.2795,                 21.822,                 8.7007,              0.0007105,              0.0007105,              0.0007105
                     11,                 0.8261,                0.74461,                 1.0366,                 0.9073,                0.06667,                0.06992,                0.05453,                 2.4583,                 4.7423,                 3.2082,             0.00077486,             0.00077486,             0.00077486
                     12,                0.76337,                0.68281,                0.96719,                0.85646,                0.79589,                 0.8156,                0.59849,                 1.0623,                 1.1449,                 1.1705,             0.00083763,             0.00083763,             0.00083763
                     13,                0.78555,                0.76805,                0.99095,                0.97519,                0.26667,                 0.2867,                0.18375,                 1.9975,                 1.9195,                 2.6188,             0.00089882,             0.00089882,             0.00089882
                     14,                0.74511,                0.63566,                0.98263,                0.81639,                    0.4,                0.52539,                 0.3669,                 1.4946,                 2.3966,                 1.4095,             0.00095843,             0.00095843,             0.00095843
                     15,                0.75061,                0.55711,                0.98128,                0.00772,                0.06667,                0.00083,                 0.0005,                 3.4353,                 36.036,                 3.6833,              0.0010165,              0.0010165,              0.0010165
                     16,                0.65479,                0.61175,                 0.9342,                0.01168,                0.06667,                0.00164,                0.00148,                 2.9544,                 39.458,                 2.8722,              0.0010729,              0.0010729,              0.0010729
                     17,                0.74505,                0.60484,                0.99356,                0.00605,                    0.4,                0.00377,                0.00287,                 1.6109,                 201.06,                 1.8372,              0.0011277,              0.0011277,              0.0011277
                     18,                0.70962,                0.57705,                0.95437,                0.10254,                0.06667,                0.02226,                0.02196,                 3.3575,                 12.367,                 10.123,               0.001181,               0.001181,               0.001181
                     19,                0.78378,                0.57571,                0.96299,                0.10254,                0.06667,                0.02226,                0.02196,                 3.0114,                 83.185,                 11.463,              0.0012327,              0.0012327,              0.0012327
                     20,                0.75665,                0.58029,                0.99726,                0.10254,                0.06667,                0.02226,                0.02196,                      0,                   8888,                      0,              0.0012828,              0.0012828,              0.0012828
                     21,                0.80628,                0.58785,                 1.0279,                0.10254,                0.06667,                0.02226,                0.02196,                 1.4928,                   2600,                 12.429,              0.0013313,              0.0013313,              0.0013313
                     22,                0.74189,                 0.6296,                0.94896,                0.10254,                0.06667,                0.02226,                0.02196,                 4.7642,                 86.928,                 61.812,              0.0013783,              0.0013783,              0.0013783
                     23,                0.69906,                0.60642,                0.95212,                0.10254,                0.06667,                0.02226,                0.02196,                 6.1552,                 82.025,                 67.618,              0.0014236,              0.0014236,              0.0014236
                     24,                0.79262,                0.59831,                0.99976,                0.10254,                0.06667,                0.02226,                0.02196,                 5.1996,                 24.158,                 22.749,              0.0014674,              0.0014674,              0.0014674
                     25,                0.63721,                0.48989,                 0.9435,                0.10254,                0.06667,                0.02226,                0.02196,                 5.2398,                 11.954,                 24.128,              0.0015096,              0.0015096,              0.0015096
                     26,                0.70256,                 0.5253,                 0.9386,                0.10254,                0.06667,                0.02226,                0.02196,                 6.2839,                 41.694,                  104.7,               0.001505,               0.001505,               0.001505
                     27,                0.74148,                 0.5805,                0.94537,                0.02762,                0.46667,                0.01761,                0.01011,                  1.595,                 37.023,                 5.2392,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.7095,                0.62327,                0.98642,                0.03073,                    0.8,                0.02714,                0.01356,                 1.3883,                 109.95,                 3.3595,              0.0014654,              0.0014654,              0.0014654
                     29,                0.75385,                0.63472,                0.98159,                0.22853,                0.86667,                0.27795,                0.15787,                 1.2207,                 9.7715,                 2.3703,              0.0014456,              0.0014456,              0.0014456
                     30,                0.74313,                0.56579,                0.95428,                0.22853,                0.86667,                0.27795,                0.15787,                 3.8017,                  17.31,                 4.5938,              0.0014258,              0.0014258,              0.0014258
                     31,                0.72109,                0.56915,                0.97722,                0.01063,                0.93333,                0.01136,                0.00862,                0.87026,                  189.3,                 1.0526,               0.001406,               0.001406,               0.001406
                     32,                0.61128,                0.51008,                0.87252,                0.00067,                    0.2,                0.00075,                0.00015,                 4.2081,                    nan,                 3424.3,              0.0013862,              0.0013862,              0.0013862
                     33,                0.62815,                0.61281,                0.92786,                0.00044,                0.13333,                0.00049,                  7e-05,                 3.7887,                    nan,                 2341.3,              0.0013664,              0.0013664,              0.0013664
                     34,                0.65471,                0.55492,                 0.9404,                0.00022,                0.06667,                0.00015,                  6e-05,                 4.1327,                    nan,                 1052.5,              0.0013466,              0.0013466,              0.0013466
                     35,                0.61954,                0.48337,                0.92051,                0.00111,                0.33333,                0.00231,                0.00068,                 3.1054,                    inf,                 396.42,              0.0013268,              0.0013268,              0.0013268
                     36,                0.69191,                0.58424,                0.95617,                0.00089,                0.26667,                0.00094,                0.00047,                 3.3225,                    inf,                 181.81,               0.001307,               0.001307,               0.001307
                     37,                0.71003,                0.54859,                0.97194,                0.00133,                    0.4,                0.00132,                0.00048,                 3.4757,                    inf,                  69.98,              0.0012872,              0.0012872,              0.0012872
                     38,                0.71869,                 0.4965,                0.96228,                0.00178,                0.53333,                 0.0017,                0.00051,                 3.4381,                    inf,                 37.706,              0.0012674,              0.0012674,              0.0012674
                     39,                0.57853,                0.44911,                0.91726,                0.01818,                0.46667,                 0.0247,                0.00439,                 3.7338,                  310.7,                 16.666,              0.0012476,              0.0012476,              0.0012476
                     40,                0.65647,                0.47956,                0.95056,                0.01818,                0.46667,                 0.0247,                0.00439,                 3.6128,                 9.4867,                 7.9117,              0.0012278,              0.0012278,              0.0012278
                     41,                  0.627,                0.44835,                0.93254,                0.01818,                0.46667,                 0.0247,                0.00439,                      0,                 5.4023,                      0,               0.001208,               0.001208,               0.001208
                     42,                0.67049,                0.46683,                0.93196,                0.01818,                0.46667,                 0.0247,                0.00439,                      0,                 14.117,                      0,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.6658,                0.44865,                0.92696,                0.01818,                0.46667,                 0.0247,                0.00439,                 0.5805,                  51.75,                 1.0968,              0.0011684,              0.0011684,              0.0011684
                     44,                0.61496,                0.42961,                0.95178,                0.01818,                0.46667,                 0.0247,                0.00439,                 6.3773,                 12.448,                 8.4643,              0.0011486,              0.0011486,              0.0011486
                     45,                0.65404,                0.42987,                0.93603,                      1,                0.26396,                0.32276,                0.19559,                  1.622,                 2.9868,                  1.697,              0.0011288,              0.0011288,              0.0011288
                     46,                0.63715,                0.43532,                0.94774,                0.97659,                0.93333,                0.98237,                0.84991,                0.64245,                0.52755,                0.96586,               0.001109,               0.001109,               0.001109
                     47,                0.60261,                 0.4222,                0.92422,                 0.4987,                      1,                0.77787,                0.69301,                0.61428,                 1.1372,                 0.9548,              0.0010892,              0.0010892,              0.0010892
                     48,                0.64837,                0.43348,                  0.967,                0.49811,                      1,                  0.789,                0.70904,                0.61598,                 1.3536,                0.96765,              0.0010694,              0.0010694,              0.0010694
                     49,                0.63323,                0.44601,                0.92605,                0.68101,                0.93333,                0.87656,                0.77674,                0.61418,                 1.1837,                0.95605,              0.0010496,              0.0010496,              0.0010496
                     50,                  0.619,                0.40958,                0.93673,                      1,                0.99838,                  0.995,                0.87619,                0.61716,                0.84862,                0.94342,              0.0010298,              0.0010298,              0.0010298
                     51,                0.64168,                0.40404,                0.92668,                0.97683,                      1,                  0.995,                 0.8365,                0.71192,                  0.747,                0.97107,                0.00101,                0.00101,                0.00101
                     52,                 0.6094,                 0.4054,                0.91546,                0.98499,                      1,                  0.995,                0.82263,                0.67322,                0.63004,                0.98541,              0.0009902,              0.0009902,              0.0009902
                     53,                0.59769,                 0.4272,                0.92635,                0.99496,                      1,                  0.995,                 0.8682,                0.60181,                0.50618,                 0.9869,              0.0009704,              0.0009704,              0.0009704
                     54,                0.61817,                0.41662,                  0.908,                0.99591,                      1,                  0.995,                0.83982,                0.60622,                0.38927,                0.98608,              0.0009506,              0.0009506,              0.0009506
                     55,                0.61943,                0.45606,                0.90293,                0.99617,                      1,                  0.995,                0.84559,                0.59466,                0.33708,                0.96368,              0.0009308,              0.0009308,              0.0009308
                     56,                0.61241,                0.40947,                0.90969,                0.99625,                      1,                  0.995,                0.82273,                0.65854,                0.34497,                0.96917,               0.000911,               0.000911,               0.000911
                     57,                0.57387,                0.39626,                0.90516,                0.99642,                      1,                  0.995,                0.81648,                 0.6932,                0.36062,                0.97054,              0.0008912,              0.0008912,              0.0008912
                     58,                0.56094,                0.38407,                0.88978,                0.99637,                      1,                  0.995,                0.88076,                0.63553,                0.35669,                0.96431,              0.0008714,              0.0008714,              0.0008714
                     59,                0.57215,                0.39518,                0.89963,                0.99636,                      1,                  0.995,                0.86795,                0.59181,                0.32025,                 0.9505,              0.0008516,              0.0008516,              0.0008516
                     60,                0.55726,                0.40207,                0.90014,                0.99639,                      1,                  0.995,                0.85454,                0.58713,                0.32945,                0.94818,              0.0008318,              0.0008318,              0.0008318
                     61,                0.56839,                0.38829,                0.91009,                0.99632,                      1,                  0.995,                0.84551,                0.59172,                0.30013,                0.94662,               0.000812,               0.000812,               0.000812
                     62,                  0.567,                0.42384,                0.94938,                0.99626,                      1,                  0.995,                0.88157,                0.59008,                0.29774,                0.93817,              0.0007922,              0.0007922,              0.0007922
                     63,                0.53044,                0.36979,                0.89572,                0.99632,                      1,                  0.995,                0.85598,                0.57289,                0.30194,                0.93436,              0.0007724,              0.0007724,              0.0007724
                     64,                0.52793,                0.35615,                 0.8856,                0.99619,                      1,                  0.995,                0.89195,                0.57181,                0.31514,                 0.9354,              0.0007526,              0.0007526,              0.0007526
                     65,                0.52947,                0.37424,                0.87361,                0.99599,                      1,                  0.995,                0.87865,                  0.575,                0.31421,                0.93241,              0.0007328,              0.0007328,              0.0007328
                     66,                0.49485,                0.35944,                0.85582,                0.99642,                      1,                  0.995,                0.87587,                0.57951,                0.32427,                 0.9321,               0.000713,               0.000713,               0.000713
                     67,                0.54035,                0.36833,                0.89696,                0.99639,                      1,                  0.995,                0.88948,                0.57188,                0.32862,                0.93234,              0.0006932,              0.0006932,              0.0006932
                     68,                0.49204,                0.33831,                0.87282,                 0.9963,                      1,                  0.995,                0.89359,                0.55993,                0.31686,                0.93808,              0.0006734,              0.0006734,              0.0006734
                     69,                0.54954,                0.36302,                0.89571,                0.99628,                      1,                  0.995,                0.86751,                0.58847,                0.33739,                0.94524,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.5371,                0.36601,                0.88176,                0.99633,                      1,                  0.995,                0.85567,                0.64009,                0.36558,                0.95489,              0.0006338,              0.0006338,              0.0006338
                     71,                0.54374,                0.36467,                0.89706,                0.99622,                      1,                  0.995,                0.86603,                0.63595,                0.38087,                0.95971,               0.000614,               0.000614,               0.000614
                     72,                0.57326,                0.39583,                0.90916,                0.99611,                      1,                  0.995,                0.86948,                0.60214,                0.37239,                  0.953,              0.0005942,              0.0005942,              0.0005942
                     73,                0.48296,                0.32886,                0.86161,                0.99599,                      1,                  0.995,                0.89387,                0.55688,                0.33061,                0.95177,              0.0005744,              0.0005744,              0.0005744
                     74,                0.53823,                0.35556,                0.87909,                0.99618,                      1,                  0.995,                0.90019,                0.54719,                0.29643,                0.95397,              0.0005546,              0.0005546,              0.0005546
                     75,                0.46992,                  0.347,                0.86136,                0.99631,                      1,                  0.995,                0.88868,                0.56253,                0.30469,                0.95518,              0.0005348,              0.0005348,              0.0005348
                     76,                0.54974,                0.36528,                0.89031,                0.99639,                      1,                  0.995,                 0.8845,                0.57515,                0.29931,                0.95102,               0.000515,               0.000515,               0.000515
                     77,                0.49889,                0.32303,                0.88427,                0.99648,                      1,                  0.995,                0.87845,                0.60601,                0.29781,                0.94791,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.4981,                0.35612,                0.88431,                0.99652,                      1,                  0.995,                0.87801,                0.60713,                0.29838,                0.94503,              0.0004754,              0.0004754,              0.0004754
                     79,                0.48735,                0.32226,                0.86923,                0.99644,                      1,                  0.995,                0.89695,                0.57782,                 0.2957,                0.94278,              0.0004556,              0.0004556,              0.0004556
                     80,                0.44323,                 0.3138,                0.84629,                0.99644,                      1,                  0.995,                0.90928,                0.54997,                0.31048,                0.94659,              0.0004358,              0.0004358,              0.0004358
                     81,                0.51665,                0.34379,                0.90107,                0.99644,                      1,                  0.995,                0.89698,                0.53167,                0.29527,                0.94971,               0.000416,               0.000416,               0.000416
                     82,                0.46283,                0.31432,                0.87588,                0.99645,                      1,                  0.995,                0.90281,                0.51993,                0.29309,                0.94704,              0.0003962,              0.0003962,              0.0003962
                     83,                0.52429,                0.38143,                0.89012,                0.99641,                      1,                  0.995,                0.90137,                0.52238,                 0.2965,                0.93834,              0.0003764,              0.0003764,              0.0003764
                     84,                0.46721,                0.31937,                0.87226,                0.99643,                      1,                  0.995,                0.90195,                0.52549,                0.30601,                0.92973,              0.0003566,              0.0003566,              0.0003566
                     85,                0.50877,                 0.3318,                0.88449,                0.99646,                      1,                  0.995,                0.89354,                0.51337,                0.28781,                0.92322,              0.0003368,              0.0003368,              0.0003368
                     86,                0.44822,                0.31446,                0.87131,                0.99645,                      1,                  0.995,                0.89489,                0.49285,                0.27382,                0.92026,               0.000317,               0.000317,               0.000317
                     87,                0.42391,                0.30876,                0.84978,                0.99648,                      1,                  0.995,                0.89493,                0.48777,                0.27012,                0.92231,              0.0002972,              0.0002972,              0.0002972
                     88,                0.45391,                0.31832,                0.87349,                0.99653,                      1,                  0.995,                0.89438,                 0.4937,                0.26837,                0.92514,              0.0002774,              0.0002774,              0.0002774
                     89,                0.46137,                0.32653,                0.89246,                0.99649,                      1,                  0.995,                0.89174,                0.50577,                0.26588,                0.92966,              0.0002576,              0.0002576,              0.0002576
                     90,                0.48943,                0.32046,                0.88151,                 0.9965,                      1,                  0.995,                0.89595,                0.50761,                0.26279,                0.93134,              0.0002378,              0.0002378,              0.0002378
                     91,                0.36221,                0.24942,                0.81633,                0.99651,                      1,                  0.995,                0.91678,                0.51704,                0.26756,                0.93363,               0.000218,               0.000218,               0.000218
                     92,                0.35205,                0.23529,                0.81529,                 0.9965,                      1,                  0.995,                0.89595,                0.52641,                0.25455,                0.93646,              0.0001982,              0.0001982,              0.0001982
                     93,                0.39455,                0.27005,                 0.8439,                0.99648,                      1,                  0.995,                0.90115,                0.53919,                0.24846,                0.93957,              0.0001784,              0.0001784,              0.0001784
                     94,                0.36486,                0.25053,                0.81273,                0.99648,                      1,                  0.995,                0.91509,                0.54404,                0.24979,                0.94204,              0.0001586,              0.0001586,              0.0001586
                     95,                0.35387,                0.24871,                0.84133,                0.99652,                      1,                  0.995,                0.91509,                0.54585,                0.25446,                0.94454,              0.0001388,              0.0001388,              0.0001388
                     96,                0.35451,                 0.2529,                 0.8218,                0.99648,                      1,                  0.995,                0.90543,                0.54223,                0.25058,                0.94536,               0.000119,               0.000119,               0.000119
                     97,                0.36145,                0.24179,                0.82017,                      1,                      1,                  0.995,                0.91244,                0.53747,                0.25051,                0.94594,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.35028,                0.24431,                0.80645,                      1,                      1,                  0.995,                0.91244,                0.52569,                0.25519,                0.94441,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.35876,                0.24427,                0.86475,                      1,                      1,                  0.995,                0.90242,                0.52177,                0.26423,                  0.943,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.34142,                0.24287,                0.82987,                      1,                      1,                  0.995,                0.90824,                0.51968,                0.25531,                0.94405,               3.98e-05,               3.98e-05,               3.98e-05
